Delta.Compl1.49_S49	Delta.Compl1.67_S67	Delta.Compl3.51_S51	Delta.Compl3.69_S69	Delta.Compl4.52_S52	Delta.Compl4.70_S70	Delta.Compl5.53_S53	Delta.Compl5.71_S71	Delta1.43_S43	Delta1.61_S61	Delta2.44_S44	Delta2.62_S62	Delta3.45_S45	Delta3.63_S63	Delta5.47_S47	Delta5.65_S65	WT2.38_S38	WT2.56_S56	WT3.39_S39	WT3.57_S57	WT4.40_S40	WT4.58_S58	WT5.41_S41	WT5.59_S59	Delta.m11	DeltaCompl.m13	DeltaCompl.m15	DeltaCompl.m16	DeltaCompl.m17	WT.m2	WT.m3	WT.m4	WT.m5	Delta.m7	Delta.m8	Delta.m9
OTU_42029	8	13	45	22	31	12	29	6	3	5	18	12	16	12	9	8	22	62	13	18	5	30	6	4	72	17	14	3	46	15	4	36	38	16	66	54
OTU_42059	19	44	49	60	30	94	82	27	21	39	5	1	0	9	9	20	46	75	4	163	1	14	42	61	116	35	9	17	41	14	5	7	50	10	23	0
OTU_42087	107	11	13	11	24	3	2	1	16	18	0	34	15	12	0	0	12	4	32	1	20	40	23	11	100	121	1	24	8	99	31	3	96	20	6	123
OTU_42116	55	53	40	53	23	4	21	10	5	22	0	4	14	15	0	1	34	326	22	271	4	16	5	12	121	35	5	47	73	94	14	3	119	7	22	61
OTU_42189	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0	0	0	7	0	1	209	233	37	11	0	157	0	89	0	87	14	41
OTU_42212	9	33	1	2	0	0	367	27	1	4	0	94	66	46	0	1	0	2	0	0	75	369	0	0	8	0	0	2	56	0	0	1	1	0	104	52
OTU_42245	18	36	7	90	45	17	22	27	6	8	15	14	7	27	6	25	3	7	17	12	20	7	6	23	32	48	25	25	33	32	16	13	9	18	10	21
OTU_42273	48	27	4	14	4	15	25	39	13	42	2	58	6	14	51	134	18	87	7	15	7	33	22	55	26	23	88	9	107	50	24	3	33	11	41	8
OTU_42329	69	15	330	70	79	13	89	10	7	3	6	2	39	14	12	1	39	8	14	4	5	21	7	1	225	16	8	5	93	5	5	3	160	5	2	21
OTU_42366	33	6	46	34	5	7	82	10	15	31	1	23	31	12	0	1	2	15	35	160	11	70	39	23	133	48	0	13	11	8	2	0	1	13	29	11
OTU_42401	3	12	26	94	96	0	18	14	130	53	351	18	199	163	76	188	8	8	330	4	164	75	51	23	47	37	225	30	19	145	91	99	17	26	62	129
OTU_42520	48	16	39	14	30	2	40	1	20	9	8	21	11	11	17	6	34	8	32	13	6	21	45	8	26	6	16	9	24	9	10	8	34	2	11	16
OTU_42535	68	32	33	62	30	15	123	45	38	30	46	97	60	101	51	90	65	40	63	10	32	64	44	30	75	71	186	38	206	127	90	64	47	44	223	145
OTU_42663	1	1	49	11	6	3	50	4	17	21	2	0	6	9	2	3	0	0	2	1	0	0	2	8	35	7	6	20	3	18	19	0	0	1	14	6
